SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GAME_ID,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,AST,TOV,PF,PTS,PLUS_MINUS,NBA_FANTASY_PTS,MIN_RANK,GAME_DATE,HOME
2022-23,1631223,David Roddy,MEM,0022201226,OKC,L,42.56166666666667,6,19,0.316,2,8,0.25,0,0,0.0,0,4,5,2,1,14,-8,24.3,69,2023-04-09T00:00:00,0
2022-23,1630208,Nick Richards,CHA,0022201218,CLE,W,17.566666666666666,3,4,0.75,0,0,0.0,5,5,1.0,2,6,1,3,0,11,8,31.1,5085,2023-04-09T00:00:00,0
2022-23,1629056,Terence Davis,SAC,0022201227,DEN,L,18.083333333333332,2,9,0.222,1,8,0.125,0,2,0.0,0,1,0,0,1,5,-18,6.2,4990,2023-04-09T00:00:00,0
2022-23,1628964,Mo Bamba,LAL,0022201228,UTA,W,0.6616666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,1.2,7225,2023-04-09T00:00:00,1
2022-23,1630586,Usman Garuba,HOU,0022201222,WAS,W,11.833333333333334,0,3,0.0,0,2,0.0,0,0,0.0,1,2,0,2,2,0,-1,4.6,5991,2023-04-09T00:00:00,0
2022-23,1631246,Vince Williams Jr.,MEM,0022201226,OKC,L,48.0,6,21,0.286,1,14,0.071,2,2,1.0,2,6,1,4,5,15,-15,31.1,6,2023-04-09T00:00:00,0
2022-23,201939,Stephen Curry,GSW,0022201230,POR,W,22.45,9,15,0.6,5,10,0.5,3,3,1.0,0,5,7,1,0,26,26,41.5,4003,2023-04-09T00:00:00,0
2022-23,1626172,Kevon Looney,GSW,0022201230,POR,W,21.166666666666668,2,4,0.5,0,0,0.0,0,0,0.0,3,5,4,0,1,4,26,19.6,4298,2023-04-09T00:00:00,0
2022-23,1629018,Gary Trent Jr.,TOR,0022201221,MIL,W,27.066666666666666,7,13,0.538,4,7,0.571,5,5,1.0,0,1,3,0,0,23,14,28.7,2939,2023-04-09T00:00:00,1
2022-23,202709,Cory Joseph,DET,0022201223,CHI,L,37.11666666666667,2,10,0.2,1,7,0.143,0,1,0.0,2,2,9,2,1,5,-14,21.3,555,2023-04-09T00:00:00,0
